,date,sum_sr,sum_zc,ysb_days,ssb_days,dx_days,tc_zk,tc,dx,sum_cb,bl
count,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0
mean,16.24092409240924,334.56973083451203,344.8733144743046,31.0,23.20768505421971,6.242102781706742,0.247001414427157,102.96162187647336,58.06451612903225,161.02613800550563,0.8943775124247155
std,8.18483087816364,268.04265507175995,183.3666828824702,0.0,3.8732734883889504,1.6243184668911967,0.1103808351643679,76.65171854904526,7.107102968367746e-15,76.65171854904526,2.155286762376055
min,2.0,1.7226,1.8,31.0,0.0,0.0,0.05,0.09000000000000001,58.064516129032256,58.15451612903226,0.14606276806507612
25%,9.0,153.67679999999996,210.70000000000007,31.0,22.0,6.0,0.15,31.60500000000001,58.064516129032256,89.66951612903227,0.3927142673904264
50%,16.0,260.5824,331.0,31.0,25.0,6.0,0.3,99.3,58.064516129032256,157.3645161290323,0.5961644726939499
75%,24.0,423.9162,461.09999999999985,31.0,25.0,6.0,0.35,161.38499999999996,58.064516129032256,219.44951612903225,0.8063742461373841
max,31.0,1825.938600000004,1155.0,31.0,26.0,11.0,0.35,404.25,58.064516129032256,462.3145161290323,33.76553821492642
